filename,ground_truth,prediction,confidence,correct
2021_0818_115908_062B-doNotEnter-start9185.MOV_image0,doNotEnter,doNotEnter,0.9,True
2021_0818_115908_062B-doNotEnter-start9185.MOV_image1,doNotEnter,doNotEnter,0.9,True
2021_0818_115908_062B-doNotEnter-start9185.MOV_image2,doNotEnter,oneWay,0.9,False
2021_0818_115908_062B-pedestrianCrossing-start8985.MOV_image0,pedestrianCrossing,yield,0.9,False
2021_0818_115908_062B-pedestrianCrossing-start8985.MOV_image1,pedestrianCrossing,yield,0.9,False
2021_0818_115908_062B-pedestrianCrossing-start8985.MOV_image2,pedestrianCrossing,yield,0.9,False
2021_0818_121908_066B-doNotEnter-start10545.MOV_image0,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image1,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image10,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image11,doNotEnter,stop,0.9,False
2021_0818_121908_066B-doNotEnter-start10545.MOV_image12,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image13,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image14,doNotEnter,stop,0.9,False
2021_0818_121908_066B-doNotEnter-start10545.MOV_image15,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image16,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image17,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image18,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image19,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image2,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image20,doNotEnter,noTurnOnRed,0.9,False
2021_0818_121908_066B-doNotEnter-start10545.MOV_image21,doNotEnter,stop,0.9,False
2021_0818_121908_066B-doNotEnter-start10545.MOV_image22,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image3,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image4,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image5,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image6,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image7,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-doNotEnter-start10545.MOV_image8,doNotEnter,doNotEnter,0.9,True
